UTC	Local	fline_area_km2	fperim_area_km2	nfp_area_km2	fline	fperim	nfp	u_mean	v_mean	ws_mean	wd_mean	d2m	lh	lw	m1	m10	m100	sp	t2m	tp	230evt	230fbfm13	230fbfm40	240roads_23	adj	asp2020	cbd	cbh	cc	ch	elev2020	slpd2020	mean_rh	vpd
2021-08-16 09:30:00	2021-08-16 01:30:00	3.420000	7.110000	2.340000	38.000000	79.000000	26.000000																											
2021-08-16 10:00:00	2021-08-16 02:00:00							-1.497837	-0.280499	1.523875	79.393097	10.490045	38.795254	65.596977	7.258298	6.505648	6.534751	84442.929688	19.601282	0.004543													55.623383	1.012314
2021-08-16 10:30:00	2021-08-16 02:30:00																																	
2021-08-16 11:00:00	2021-08-16 03:00:00							-1.928024	-0.267561	1.946501	82.099258	10.726740	38.795254	65.596977	7.198102	6.562726	6.540658	84426.960938	18.967920	0.005396													58.780653	0.903940
2021-08-16 11:30:00	2021-08-16 03:30:00																																	
2021-08-16 12:00:00	2021-08-16 04:00:00							-1.065709	0.777993	1.319473	126.130341	10.863397	38.795254	65.596977	7.084453	6.599566	6.544870	84415.000000	18.458276	0.005396													61.238619	0.823376
2021-08-16 12:30:00	2021-08-16 04:30:00																																	
2021-08-16 13:00:00	2021-08-16 05:00:00							-0.832652	0.673960	1.071229	128.987213	10.846277	38.795254	65.596977	7.058206	6.638601	6.549640	84389.367188	18.141351	0.005396													62.397119	0.783044
2021-08-16 13:30:00	2021-08-16 05:30:00																																	
2021-08-16 14:00:00	2021-08-16 06:00:00							-0.877490	0.320906	0.934328	110.087921	11.026971	38.795254	65.596977	6.995112	6.665090	6.553384	84385.585938	18.324274	0.005396													62.430612	0.791380
2021-08-16 14:30:00	2021-08-16 06:30:00																																	
2021-08-16 15:00:00	2021-08-16 07:00:00							-0.830481	0.521572	0.980681	122.130341	12.785577	38.795254	65.596977	6.924365	6.682109	6.556324	84402.687500	22.283380	0.005396													54.904177	1.213053
2021-08-16 15:30:00	2021-08-16 07:30:00																																	
2021-08-16 16:00:00	2021-08-16 08:00:00							-0.539936	0.398204	0.670893	126.408890	6.767206	38.795254	65.596977	6.505337	6.628319	6.551721	84366.054688	27.826074	0.006261													26.349639	2.755864
2021-08-16 16:30:00	2021-08-16 08:30:00																																	
